"Component","Region","Time_Scale","Lag1","Slope","Pvalue","CI_Lower","CI_Upper","Units","CI_formatted","Conclusion","Interpretation"
"MKE","Pan-Arctic (≥60°N)","Annual",0.320668090897951,0.00440525830931035,0.606174083728851,-0.00870972444676001,0.00880880334808147,"m²/s²","[-0.0087, 0.0088]","Not Significant","No significant change"
"MKE","Fram Strait (76-82°N, 15°W-15°E)","Annual",0.167694654183667,0.00852846685398229,0.582464170348454,-0.0219163301375877,0.0212421940184274,"m²/s²","[-0.0219, 0.0212]","Not Significant","No significant change"
"MKE","Svalbard/Barents (74-81°N, 10°W-35°E)","Annual",0.158224607760285,0.00582283941133957,0.562568801406599,-0.0190037081407777,0.0182001788914235,"m²/s²","[-0.0190, 0.0182]","Not Significant","No significant change"
"EKE","Pan-Arctic (≥60°N)","Annual",0.618090624296433,0.0143568140159495,0.415335033097406,-0.011710028052306,0.0123592473822332,"m²/s²","[-0.0117, 0.0124]","Not Significant","No significant change"
"EKE","Fram Strait (76-82°N, 15°W-15°E)","Annual",0.582497477133444,0.0453311705001601,0.50056351204937,-0.0427989496337611,0.041133082413342,"m²/s²","[-0.0428, 0.0411]","Not Significant","No significant change"
"EKE","Svalbard/Barents (74-81°N, 10°W-35°E)","Annual",0.603510869407298,0.020955197753815,0.698376517186061,-0.0331078742478184,0.0319294635319086,"m²/s²","[-0.0331, 0.0319]","Not Significant","No significant change"
"MKE/EKE Ratio","Pan-Arctic (≥60°N)","Annual",0.0847815391920533,4.3349156836851e-05,0.820155927880534,-0.000253657546086819,0.000246045077985865,"dimensionless","[-0.0003, 0.0002]","Not Significant","No significant change"
"MKE/EKE Ratio","Fram Strait (76-82°N, 15°W-15°E)","Annual",0.0419829470603002,4.40318220365224e-06,0.993063792890289,-0.000377460266801535,0.000364357457890073,"dimensionless","[-0.0004, 0.0004]","Not Significant","No significant change"
"MKE/EKE Ratio","Svalbard/Barents (74-81°N, 10°W-35°E)","Annual",0.0417734440850022,-2.05228245577566e-06,0.964489495795119,-0.000371344980529877,0.000373350078559779,"dimensionless","[-0.0004, 0.0004]","Not Significant","No significant change"
"MKE","Pan-Arctic (≥60°N)","DJF",0.114410250251896,-0.100222405596175,0.364093257258358,-0.29170683610285,0.297725609362102,"m²/s²","[-0.2917, 0.2977]","Not Significant","No significant change"
"MKE","Fram Strait (76-82°N, 15°W-15°E)","DJF",0.108882997042578,-0.0240388169396226,0.799056168803881,-1.30982207105289,1.27016986847892,"m²/s²","[-1.3098, 1.2702]","Not Significant","No significant change"
"MKE","Svalbard/Barents (74-81°N, 10°W-35°E)","DJF",0.118134350816606,-0.505920795007374,0.227649927040259,-1.04609441527967,1.04762666431399,"m²/s²","[-1.0461, 1.0476]","Not Significant","No significant change"
"MKE","Pan-Arctic (≥60°N)","MAM",0.0226533541033296,0.230869310857974,0.113477597990771,-0.222945665143594,0.232953073989686,"m²/s²","[-0.2229, 0.2330]","Not Significant","No significant change"
"MKE","Fram Strait (76-82°N, 15°W-15°E)","MAM",0.0313600128825049,0.25785715659105,0.626257509408644,-0.589472294692164,0.570482697288566,"m²/s²","[-0.5895, 0.5705]","Not Significant","No significant change"
"MKE","Svalbard/Barents (74-81°N, 10°W-35°E)","MAM",0.00706462448611794,0.343789416835537,0.394074224993177,-0.528861483661834,0.519281758020111,"m²/s²","[-0.5289, 0.5193]","Not Significant","No significant change"
"MKE","Pan-Arctic (≥60°N)","JJA",0.00737806970265619,0.15971484727259,0.0629621095803437,-0.145630158775874,0.151128408912107,"m²/s²","[-0.1456, 0.1511]","Not Significant","No significant change"
"MKE","Fram Strait (76-82°N, 15°W-15°E)","JJA",0.119844798181068,0.0348137534937586,0.982339137555177,-0.491884560081025,0.531439457693839,"m²/s²","[-0.4919, 0.5314]","Not Significant","No significant change"
"MKE","Svalbard/Barents (74-81°N, 10°W-35°E)","JJA",0.0434940787730233,0.039829601969961,0.973511410342696,-0.433075276070147,0.454091194981933,"m²/s²","[-0.4331, 0.4541]","Not Significant","No significant change"
"MKE","Pan-Arctic (≥60°N)","SON",0.151333183427931,-0.101508326494587,0.419102558403841,-0.19028431869654,0.178015350858399,"m²/s²","[-0.1903, 0.1780]","Not Significant","No significant change"
"MKE","Fram Strait (76-82°N, 15°W-15°E)","SON",-0.264955177748532,0.0992142038181481,0.451667382867748,-0.697581689080259,0.665906566656844,"m²/s²","[-0.6976, 0.6659]","Not Significant","No significant change"
"MKE","Svalbard/Barents (74-81°N, 10°W-35°E)","SON",-0.259923396302924,-0.0392678221740682,0.868138753583858,-0.572415147001757,0.524238902750087,"m²/s²","[-0.5724, 0.5242]","Not Significant","No significant change"
"MKE","Pan-Arctic (≥60°N)","DJFM",-0.0651860447589995,-0.108174701625944,0.240703558354829,-0.2613724649305,0.252512048871253,"m²/s²","[-0.2614, 0.2525]","Not Significant","No significant change"
"MKE","Fram Strait (76-82°N, 15°W-15°E)","DJFM",0.0380254668993053,0.0801841379498688,0.876856861057742,-1.13760246421575,1.10743194582296,"m²/s²","[-1.1376, 1.1074]","Not Significant","No significant change"
"MKE","Svalbard/Barents (74-81°N, 10°W-35°E)","DJFM",0.015183294494169,-0.194200999953056,0.400244963044496,-0.855925369294956,0.845774351928751,"m²/s²","[-0.8559, 0.8458]","Not Significant","No significant change"
"MKE","Pan-Arctic (≥60°N)","FMA",-0.0271645701341149,0.112684569869666,0.723201996764868,-0.275020881303423,0.271396693280305,"m²/s²","[-0.2750, 0.2714]","Not Significant","No significant change"
"MKE","Fram Strait (76-82°N, 15°W-15°E)","FMA",0.00188944211554609,0.00401037684974385,0.748227035075015,-0.910322346011551,0.963935095404199,"m²/s²","[-0.9103, 0.9639]","Not Significant","No significant change"
"MKE","Svalbard/Barents (74-81°N, 10°W-35°E)","FMA",-0.0255623720375339,-0.166639062404413,0.506631116523033,-0.780851594692151,0.821632323973021,"m²/s²","[-0.7809, 0.8216]","Not Significant","No significant change"
"EKE","Pan-Arctic (≥60°N)","DJF",0.0502324712026872,0.131659500495868,0.287986986645607,-0.373717676524272,0.355840582488126,"m²/s²","[-0.3737, 0.3558]","Not Significant","No significant change"
