"Region","Season","Lag-1 (ρ₁)","Sen's Slope (m²/s² per decade)","PW-MK p-value","95% Bootstrap CI","Conclusion"
"Pan-Arctic (≥60°N)","DJF",0.0502324712026872,0.131659500495868,0.287986986645607,"[-0.3737, 0.3558]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","DJF",0.124725528187885,1.63250021870716,0.0712128213206199,"[-1.6113, 1.5663]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","DJF",0.102125227198885,0.855319319718314,0.199172696497986,"[-1.3747, 1.2907]","Not Significant"
"Pan-Arctic (≥60°N)","MAM",0.0752277273130798,0.141734651644626,0.400244963044496,"[-0.3423, 0.3406]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","MAM",0.133859039867188,1.22630690794767,0.0822621581471096,"[-0.9518, 0.9787]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","MAM",0.187370696918951,0.93895872760953,0.0991142423861402,"[-0.8738, 0.8591]","Not Significant"
"Pan-Arctic (≥60°N)","JJA",0.29372863742451,0.332514005402753,0.0645458339177849,"[-0.2645, 0.2829]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","JJA",0.0843570527705267,-0.203288597488119,0.352511163784784,"[-0.6965, 0.6878]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","JJA",0.0761395859327029,-0.224873640060008,0.308547213877935,"[-0.4982, 0.4783]","Not Significant"
"Pan-Arctic (≥60°N)","SON",-0.0712069331042024,0.174762026282758,0.245169724894346,"[-0.2361, 0.2419]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","SON",-0.11941305199765,0.19224874574325,0.833436692034205,"[-0.7914, 0.7913]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","SON",-0.155230240982363,-0.165524935147003,0.499573673458891,"[-0.6189, 0.6251]","Not Significant"
"Pan-Arctic (≥60°N)","DJFM",-0.0521752641657408,0.0956924349946291,0.240703558354829,"[-0.2892, 0.2888]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","DJFM",0.197144555276145,1.68602336058967,0.0661622920438022,"[-1.3998, 1.3914]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","DJFM",0.15176635714917,0.966584311785601,0.180488262557807,"[-1.2308, 1.1430]","Not Significant"
"Pan-Arctic (≥60°N)","FMA",-0.117372473242962,0.0013438523706681,0.665988457351881,"[-0.3277, 0.3222]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","FMA",0.203711198982212,1.13015961051521,0.263614393081446,"[-1.4314, 1.4158]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","FMA",0.149023267636314,0.618047497341045,0.330055388010491,"[-1.1200, 1.0896]","Not Significant"
