"Region","Season","Lag-1 (ρ₁)","Sen's Slope (m²/s² per decade)","PW-MK p-value","95% Bootstrap CI","Conclusion"
"Pan-Arctic (≥60°N)","DJF",0.114410250251896,-0.100222405596175,0.364093257258358,"[-0.2917, 0.2977]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","DJF",0.108882997042578,-0.0240388169396226,0.799056168803881,"[-1.3098, 1.2702]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","DJF",0.118134350816606,-0.505920795007374,0.227649927040259,"[-1.0461, 1.0476]","Not Significant"
"Pan-Arctic (≥60°N)","MAM",0.0226533541033296,0.230869310857974,0.113477597990771,"[-0.2229, 0.2330]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","MAM",0.0313600128825049,0.25785715659105,0.626257509408644,"[-0.5895, 0.5705]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","MAM",0.00706462448611794,0.343789416835537,0.394074224993177,"[-0.5289, 0.5193]","Not Significant"
"Pan-Arctic (≥60°N)","JJA",0.00737806970265619,0.15971484727259,0.0629621095803437,"[-0.1456, 0.1511]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","JJA",0.119844798181068,0.0348137534937586,0.982339137555177,"[-0.4919, 0.5314]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","JJA",0.0434940787730233,0.039829601969961,0.973511410342696,"[-0.4331, 0.4541]","Not Significant"
"Pan-Arctic (≥60°N)","SON",0.151333183427931,-0.101508326494587,0.419102558403841,"[-0.1903, 0.1780]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","SON",-0.264955177748532,0.0992142038181481,0.451667382867748,"[-0.6976, 0.6659]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","SON",-0.259923396302924,-0.0392678221740682,0.868138753583858,"[-0.5724, 0.5242]","Not Significant"
"Pan-Arctic (≥60°N)","DJFM",-0.0651860447589995,-0.108174701625944,0.240703558354829,"[-0.2614, 0.2525]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","DJFM",0.0380254668993053,0.0801841379498688,0.876856861057742,"[-1.1376, 1.1074]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","DJFM",0.015183294494169,-0.194200999953056,0.400244963044496,"[-0.8559, 0.8458]","Not Significant"
"Pan-Arctic (≥60°N)","FMA",-0.0271645701341149,0.112684569869666,0.723201996764868,"[-0.2750, 0.2714]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","FMA",0.00188944211554609,0.00401037684974385,0.748227035075015,"[-0.9103, 0.9639]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","FMA",-0.0255623720375339,-0.166639062404413,0.506631116523033,"[-0.7809, 0.8216]","Not Significant"
