"Region","Season","Lag-1 (ρ₁)","Sen's Slope (per decade)","PW-MK p-value","95% Bootstrap CI","Conclusion"
"Pan-Arctic (≥60°N)","DJF",0.0694249182060033,-0.00359273283872403,0.187799486012558,"[-0.0070, 0.0069]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","DJF",0.0426137615542714,-0.00484915134105771,0.364093257258358,"[-0.0152, 0.0155]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","DJF",0.0562233666264848,-0.01289645145699,0.0501042563983227,"[-0.0149, 0.0148]","Not Significant"
"Pan-Arctic (≥60°N)","MAM",0.068509094237615,0.00551251103628699,0.254275702144034,"[-0.0069, 0.0071]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","MAM",0.0475594219427002,0.00122192795808665,0.96468692682932,"[-0.0110, 0.0108]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","MAM",0.0165893070177535,0.00413087824190916,0.739854339641709,"[-0.0109, 0.0107]","Not Significant"
"Pan-Arctic (≥60°N)","JJA",-0.0868658714187011,0.00382223705719493,0.159824386099715,"[-0.0048, 0.0049]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","JJA",0.127064664654157,0.000680349927640081,1,"[-0.0154, 0.0156]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","JJA",0.0622070380866553,0.00304539408115499,0.799056168803881,"[-0.0137, 0.0141]","Not Significant"
"Pan-Arctic (≥60°N)","SON",0.0896213542214966,-0.00379783116775989,0.227649927040259,"[-0.0056, 0.0053]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","SON",-0.186396572486327,4.18802120296866e-05,0.587582789440007,"[-0.0108, 0.0104]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","SON",-0.209224833718828,-0.0011212830034653,0.799056168803881,"[-0.0107, 0.0108]","Not Significant"
"Pan-Arctic (≥60°N)","DJFM",-0.0869774587786381,-0.00406333518811676,0.0903725359726148,"[-0.0064, 0.0060]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","DJFM",0.0230346108127477,-0.00363624094399882,0.36997250828549,"[-0.0139, 0.0136]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","DJFM",0.00702088078436592,-0.00798071866394428,0.0991142423861402,"[-0.0123, 0.0120]","Not Significant"
"Pan-Arctic (≥60°N)","FMA",0.0276032270077019,0.00138820245455324,0.929442991164351,"[-0.0075, 0.0072]","Not Significant"
"Fram Strait (76-82°N, 15°W-15°E)","FMA",0.034145903520697,-0.00371475854598217,0.400244963044496,"[-0.0127, 0.0130]","Not Significant"
"Svalbard/Barents (74-81°N, 10°W-35°E)","FMA",-0.000467697776991505,-0.0046462006886476,0.352511163784784,"[-0.0131, 0.0131]","Not Significant"
